timestamp,eye_ar,head_direction,observation_complete
1770830951.6459835,0.274,LEFT,1
1770830951.6946275,0.241,LEFT,1
1770830951.7372117,0.3,LEFT,1
1770830951.7814002,0.257,LEFT,1
1770830951.8226736,0.313,LEFT,1
1770830951.8666756,0.284,LEFT,1
1770830951.9107242,0.266,FORWARD,1
1770830951.9556773,0.276,FORWARD,1
1770830952.0018947,0.29,FORWARD,1
1770830952.0416346,0.0,FORWARD,1
1770830952.0932875,0.394,RIGHT,1
1770830952.1366196,0.408,RIGHT,1
1770830952.1800349,0.408,RIGHT,1
1770830952.2301621,0.377,RIGHT,1
1770830952.2696517,0.432,RIGHT,1
1770830952.3132164,0.0,RIGHT,1
1770830952.354355,0.0,RIGHT,1
1770830952.4017243,0.0,RIGHT,1
1770830952.4442337,0.0,RIGHT,1
1770830952.490508,0.0,RIGHT,1
1770830952.5395372,0.251,RIGHT,1
1770830952.5875218,0.262,RIGHT,1
1770830952.6308699,0.307,FORWARD,1
1770830952.672074,0.313,FORWARD,1
1770830952.720313,0.287,FORWARD,1
1770830952.7632308,0.293,FORWARD,1
1770830952.8092833,0.266,FORWARD,1
1770830952.8547702,0.256,FORWARD,1
1770830952.9018598,0.272,FORWARD,1
1770830952.956504,0.261,FORWARD,1
1770830952.9912345,0.25,FORWARD,1
1770830953.035439,0.212,FORWARD,1
1770830953.0786326,0.223,FORWARD,1
1770830953.125029,0.19,FORWARD,1
1770830953.169803,0.208,FORWARD,1
1770830953.2143464,0.257,FORWARD,1
1770830953.2625299,0.235,FORWARD,1
1770830953.2985995,0.262,FORWARD,1
1770830953.345278,0.23,FORWARD,1
1770830953.38681,0.233,FORWARD,1
1770830953.4354558,0.243,FORWARD,1
1770830953.4831324,0.223,FORWARD,1
1770830953.52526,0.212,FORWARD,1
1770830953.573462,0.227,FORWARD,1
1770830953.6183887,0.241,FORWARD,1
